Name,Behavior,Top Speed,Body,Natural Habitat,Lifestyle
Aardvark,,40.2335,"This animal has hair.Its body can be yellow, brown and grey.",This animal's natural habitat is sandy and clay soil.,It has a nocturnal lifestyle.
Aardwolf,,,"This animal has hair.Its body can be black, yellow and brown.",This animal's natural habitat is savannas and grasslands.,
Abyssinian Guinea Pig,,6.43736,"This animal has fur.Its body can be brindle, black, white and brown.","This animal's natural habitat is grass lands, mountains and hills.",It has a herd lifestyle.
Abyssinian,,,"This animal has hair.Its body can be black, beige, white, brown and grey.",,
Acadian Flycatcher,,,"This animal has feathers.Its body can be orange, olive, white and brown.",This animal's natural habitat is wet deciduous forests.,It has a diurnal lifestyle.
Achrioptera Manga,They can be characterized as solitary.Their aggression level is low.,,This animal has an exoskeleton.Its body can be blue and brown.,,
Ackie Monitor,They can be characterized as mainly solitary. Their temperament can be characterized as docile.Their aggression level is low.,,This animal has scales.Its body can be multi-colored.,This animal's natural habitat is arid scrublands and woodlands.,"It has a diurnal, nocturnal and solitary lifestyle."
Addax,,,This animal has hair.Its body can be grey-brown and white.,This animal's natural habitat is desert and semidesert habitats.,
Adelie Penguin,,72.4203,,This animal's natural habitat is antarctic land and ocean.,It has a diurnal lifestyle.
Admiral Butterfly,They usually live in groups and can be characterized as solitary.Their aggression level is low.,,This animal has an exoskeleton.Its body can be multi-colored.,"This animal's natural habitat is forests, fields, jungles, mountain ranges, orchards, near streams, marshes and urban areas.",It has a diurnal lifestyle.
Aesculapian,,,,,
Affenpinscher,,,This animal has hair.Its body can be black and grey.,,
Afghan Hound,,,"This animal has hair.Its body can be gold, black, white and brown.",,
African Bullfrog,,,"This animal's skin is permeable.Its body can be yellow, olive, cream and light-brown.","This animal's natural habitat is deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds and lakes.",
African Bush Elephant,,40.2335,This animal's skin is leather.Its body can be brown and grey.,"This animal's natural habitat is forest, savannah and flood plains.",It has a diurnal lifestyle.
African Civet,,,"This animal has fur.Its body can be black, yellow, white, brown, tan and grey.",This animal's natural habitat is tropical rainforest.,It has a nocturnal lifestyle.
African Clawed Frog,,8.0467,,This animal's natural habitat is warm stagnant water with grassland.,It has a nocturnal lifestyle.
African Fish Eagle,,,"This animal has feathers.Its body can be black, white and brown.",This animal's natural habitat is large bodies of water in sub-saharan africa.,It has a diurnal lifestyle.
African Forest Elephant,,38.62416,This animal's skin is leather.Its body can be brown and grey.,"This animal's natural habitat is forest, savannah and flood plains.",It has a diurnal lifestyle.
African Golden Cat,They can be characterized as solitary.Their aggression level is medium.,,"This animal has fur.Its body can be black, fawn, white, red, blue and cream.",This animal's natural habitat is dense forest.,It has a crepuscular and nocturnal lifestyle.
African Grey Parrot,,67.59228,,"This animal's natural habitat is lowland forests, mangroves, savannas and gardens.",
African Jacana,,,"This animal has feathers.Its body can be black, yellow, white, blue and brown.",This animal's natural habitat is freshwater lakes.,It has a diurnal lifestyle.
African Palm Civet,,,"This animal has fur.Its body can be black, yellow, white, brown, tan and grey.",This animal's natural habitat is tropical rainforest.,It has a crepuscular lifestyle.
African Penguin,,19.955816000000002,"This animal has feathers.Its body can be black, white and grey.",This animal's natural habitat is rocky ocean islands.,It has a diurnal lifestyle.
African Sugarcane Borer,They can be characterized as solitary. Their temperament can be characterized as docile.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be dark, white, cream, brown and tan.",This animal's natural habitat is sugarcane fields.,It has a nocturnal lifestyle.
African Tree Toad,,8.0467,"This animal's skin is permeable.Its body can be tan, black, white and brown.",This animal's natural habitat is tropical lowland forest.,It has a solitary lifestyle.
African Wild Dog,,72.4203,"This animal has fur.Its body can be gold, black, white, red, brown, tan and grey.",This animal's natural habitat is open plains and savanna.,It has a crepuscular lifestyle.
Africanized Bee Killer Bee,They usually live in swarms or colonies. Their temperament can be characterized as aggressive.Their aggression level is high.,32.1868,"This animal has hairs.Its body can be black, yellow, brown and light-brown.",This animal's natural habitat is warm environments.,It has a diurnal and colony lifestyle.
Agama Lizard,,,"This animal has scales.Its body can be black, green, white, blue and brown.","This animal's natural habitat is forests, deserts, plains and and urban areas.",
Agkistrodon Contortrix,They can be characterized as mainly solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be caramel, grey-brown, brown and light-brown.","This animal's natural habitat is forests, open woods and rocky crevices.",It has a season and nocturnal lifestyle.
Agouti,They usually live in pairs or family units.Their aggression level is low.,,"This animal has fur.Its body can be black, dark, white, red, light-brown, orange, olive, brown and cream.",This animal's natural habitat is mostly forested areas of various types across different habitats based on each species.,"It has a diurnal, crepuscular and nocturnal lifestyle."
Aidi,,,"This animal has hair.Its body can be black, tawny, white and red.",,
Ainu,,,"This animal has hair.Its body can be tan, white, brown and grey.",,
Airedale Terrier,,,"This animal has hair.Its body can be tan, black and brown.",,
Airedoodle,,,,,
Akbash,,,This animal has hair.Its body can be white and brown.,,
Akita Shepherd,,,"This animal has hair.Its body can be brindle, black, white, red, brown, silver and grey.",,
Akita,,,"This animal has hair.Its body can be black, white, brown and grey.",,
Alabai,,,This animal has hairs.Its body can be multi-colored.,,
Alaskan Husky,,,"This animal has hair.Its body can be black, white, red, brown and grey.",,
Alaskan Klee Kai,,,"This animal has hair.Its body can be black, white, red and grey.",,
Alaskan Malamute,,,"This animal has hair.Its body can be black, white and grey.",,
Alaskan Pollock,,,"This animal has scales.Its body can be black, yellow and green.",,
Alaskan Shepherd,,,"This animal has hair.Its body can be black, white, red, blue, brown, cream, silver and grey.",,
Albacore Tuna,,80.467,"This animal's skin is smooth.Its body can be silver, blue and grey.",This animal's natural habitat is oceans.,
Albatross,,80.467,"This animal has feathers.Its body can be black, yellow, white, red, brown and grey.",This animal's natural habitat is open seas and oceans.,
Albertonectes,,,,,
Albino Amelanistic Corn Snake,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be orange, yellow, white and red.",,It has a diurnal and nocturnal lifestyle.
Aldabra Giant Tortoise,,0.48280199999999995,"This animal has scales.Its body can be tan, black and brown.",This animal's natural habitat is grasslands and swamps.,It has a diurnal lifestyle.
Alligator Gar,,,"This animal has scales.Its body can be yellow, green, white, brown and grey.","This animal's natural habitat is rivers, lakes, swamps, bayous and and estuaries.",
Alligator,,24.1401,"This animal has scales.Its body can be black, yellow, green, brown and grey.",This animal's natural habitat is marsh and swampland.,It has a diurnal and nocturnal lifestyle.
Allosaurus,,,,This animal's natural habitat is semi-arid floodplains with distinct wet and dry seasons..,
Alosaurus,,88.5137,This animal has scales.Its body can be dark and brown.,This animal's natural habitat is forests and flood plainlands.,It has a group lifestyle.
Alpaca,,56.3269,"This animal has fur.Its body can be black, beige, sandy, chocolate, fawn, dark, white, black-brown, light-brown, caramel, golden, brown, cream, tan, chestnut, blonde and white-brown.",This animal's natural habitat is farms and temperate high meadow.,
Alpine Dachsbracke,,,"This animal has hair.Its body can be black, red and brown.",,
Alpine Goat,,24.1401,"This animal has hair.Its body can be black, white, brown and grey.",This animal's natural habitat is domestic and mountains.,
Alusky,,,"This animal has hair.Its body can be black, white, brown, silver and grey.",,
Amano Shrimp,They can be characterized as solitary.Their aggression level is low.,,"This animal has a shell.Its body can be yellow, green, white, red, blue, brown and grey.",This animal's natural habitat is freshwater and brackish water.,It has a diurnal and solitary lifestyle.
Amargasaurus,,,,,
Amazon Parrot,,80.467,"This animal has feathers.Its body can be yellow, green, red, purple and blue.","This animal's natural habitat is woodlands, savannas, rainforests, palm groves, cloud forests, moist forests and mountain forests.",
Amazon Tree Boa,They can be characterized as solitary except during mating season.Their aggression level is high.,,"This animal has scales.Its body can be beige, yellow, fawn, peach, light, dark, red, orange, olive-grey, olive, brown, dull and grey.",,It has a diurnal and nocturnal lifestyle.
Amazonian Royal Flycatcher,,,"This animal has feathers.Its body can be chestnut, yellow, white and brown.",This animal's natural habitat is humid lowland evergreen and second-growth forests.,It has a diurnal lifestyle.
